iter	CrossEntropy
186	0.131515114
187	0.1312343686
188	0.130841669
189	0.1304862945
190	0.1301198461
191	0.1297726012
192	0.1293521792
193	0.1289268322
194	0.1284622737
195	0.1280046737
196	0.1276605149
197	0.1273932798
198	0.1269320347
199	0.1265527032
200	0.1260260027
201	0.1256996872
202	0.1252984072
203	0.1249693873
204	0.1244582083
205	0.1241582322
206	0.1238752708
207	0.1236676004
208	0.1233637225
209	0.1230291241
210	0.1228060609
211	0.1224367589
212	0.1221872795
213	0.121705491
214	0.1212136887
215	0.120811085
216	0.1204316851
217	0.1199685599
218	0.1195091456
219	0.1191438997
220	0.1189660081
221	0.1186528177
222	0.1182703708
223	0.117934544
224	0.1174828162
225	0.1172542446
226	0.1170032426
227	0.1167727268
228	0.1164386253
229	0.1161248989
230	0.1158464257
231	0.1154878685
232	0.1151768119
233	0.1149255553
234	0.1146962752
235	0.1143257629
236	0.1139408532
237	0.1135227701
238	0.1133021734
239	0.1129632292
240	0.1125836967
241	0.1123319122
242	0.1119848625
243	0.1117856797
244	0.1113790019
245	0.1111253869
246	0.1106532488
247	0.1104070212
248	0.1101190874
249	0.1099308493
250	0.109655496
251	0.1093736288
252	0.1090358447
253	0.1086301748
254	0.1084307474
255	0.1081916636
256	0.1079944575
257	0.1078277773
258	0.1075358735
259	0.1073888453
260	0.1072442309
261	0.1070390111
262	0.1068132336
263	0.1065996938
264	0.1063021189
265	0.1060886826
266	0.1058712622
267	0.1055991245
268	0.1052731601
269	0.105090012
270	0.1048502313
271	0.1046643142
272	0.1042995426
273	0.1040482467
274	0.1038145277
275	0.1035121193
276	0.1032045457
277	0.1029673445
278	0.1026666289
279	0.1024159448
280	0.102174699
281	0.1019355162
282	0.101616223
283	0.1012098881
284	0.1010091217
285	0.1008947124
286	0.1007596769
287	0.1004881507
288	0.1002329138
289	0.09991791009
290	0.09976729789
291	0.09945925146
292	0.09920408848
293	0.09891048218
294	0.09866451434
295	0.09852993889
296	0.09825838846
297	0.09804169656
298	0.09789857545
299	0.09767628245
300	0.09735379342
301	0.0970993856
302	0.09683587471
303	0.09658816012
304	0.0963300853
305	0.09599876747
306	0.09572959705
307	0.09547841906
308	0.09526344882
309	0.09504087793
310	0.09484740601
311	0.09454013354
312	0.09434029777
313	0.09410515212
314	0.09377788572
315	0.09357411247
316	0.09339912873
317	0.09314001695
318	0.09292915724
319	0.09277947811
320	0.09247489482
321	0.09219857235
322	0.0920728307
323	0.09167263671
324	0.09148226483
325	0.0913195002
326	0.09118481495
327	0.09089549228
328	0.09066954134
329	0.09040738638
330	0.09014123922
331	0.08995799412
332	0.08962511179
333	0.08950580774
334	0.08932096006
335	0.08912819905
336	0.08898534248
337	0.08875990287
338	0.08856581343
339	0.08834183946
340	0.08816708576
341	0.08801296447
342	0.0877760145
343	0.08755228093
344	0.08738350757
345	0.08725786702
346	0.08700398982
347	0.08681395928
348	0.08661243267
349	0.08647365054
350	0.08614984283
351	0.08596186003
352	0.08573441938
353	0.08546454057
354	0.08525441103
355	0.08495595405
356	0.08478579289
357	0.0846163981
358	0.08448438687
359	0.08416670067
360	0.08391539067
361	0.08375691985
362	0.08366130033
363	0.08346261152
364	0.08330364705
365	0.08303334714
366	0.08288902407
367	0.08272114799
368	0.0824520983
369	0.08222727185
370	0.08203981503
371	0.08186383273
372	0.08156888058
373	0.08129921796
374	0.08109574444
375	0.08082211916
376	0.08065161568
377	0.08040785692
378	0.08024201422
379	0.08005737935
380	0.07991667275
381	0.07965835354
382	0.0795366942
383	0.07939885498
384	0.07919549966
385	0.07904722433
386	0.07880159008
387	0.07863584102
388	0.07842586942
389	0.07824602546
390	0.07804718194
391	0.07788750316
392	0.07769890252
393	0.07754572149
394	0.07732921905
395	0.07716553038
396	0.07697189212
397	0.07682917274
398	0.0766710902
399	0.07648075058
400	0.07628816164
401	0.0760555952
402	0.07584944094
403	0.07566953018
404	0.0755063351
405	0.07541110357
406	0.07518071941
407	0.07501650689
408	0.07477057986
409	0.0745452633
410	0.07443573736
411	0.07431663994
412	0.07411567908
413	0.07393202367
414	0.07375718339
415	0.0735971779
416	0.07341620898
417	0.07323249344
418	0.07301791008
419	0.0728040785
420	0.07267493986
421	0.07252426715
422	0.07239349625
423	0.07220977397
424	0.07204817233
425	0.07185877867
426	0.07168321288
427	0.07155964066
428	0.07143359366
429	0.07126222265
430	0.07102959834
431	0.07087067167
432	0.07069961949
433	0.07054372682
434	0.0703885293
435	0.0702729431
436	0.07014883865
437	0.06997359668
438	0.06978836458
439	0.0696515485
440	0.06946718311
441	0.06930971907
442	0.06916720811
443	0.06907284518
444	0.0689559635
445	0.06877988195
446	0.0685688313
447	0.06843314634
448	0.06828551421
449	0.06814166141
450	0.06804644724
451	0.06788263058
452	0.06767269168
453	0.06756046889
454	0.06739513104
455	0.06728605718
456	0.0671307815
457	0.06698385042
458	0.06676282475
459	0.06667516939
460	0.06649094266
461	0.0663248834
462	0.06616142165
463	0.06597084179
464	0.06580327584
465	0.06560541154
466	0.06548272119
467	0.0653356387
468	0.0652165969
469	0.06507448666
470	0.0649423161
471	0.06484891876
472	0.06472528861
473	0.06461440413
474	0.06453436802
475	0.06443059741
476	0.06426386878
477	0.06410046916
478	0.06396175756
479	0.06384040716
480	0.06368468527
481	0.06357477888
482	0.06342644645
483	0.06335405797
484	0.06326997799
485	0.06317426792
486	0.06304068726
487	0.06289916562
488	0.06276352708
